Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Steve LeBrun,66.00,60.16,2013,294.10,67.47,29.71,57.58,71.55,270,,,-0.18,-0.40,0.25,-0.28,-0.19,337157
Henrik Norlander,70.00,60.13,2013,295.00,67.40,29.75,55.14,71.36,229,,,-0.16,-0.25,0.17,-0.11,-0.16,401958
Charl Schwartzel,69.00,59.87,2013,296.10,65.85,29.01,55.02,69.65,871,,4,0.30,1.27,0.20,0.71,0.06,2256723
Charlie Beljan,62.00,59.86,2013,295.40,64.61,29.98,52.66,71.84,459,,1,-0.21,-0.52,0.42,-0.44,-0.31,916229
Greg Owen,73.00,59.76,2013,292.80,65.73,29.85,54.79,71.55,336,,,-0.67,-0.62,0.06,-0.05,0.04,442198
Lee Williams,62.00,59.76,2013,275.60,61.67,28.82,64.25,71.79,134,,,-0.43,-0.79,-0.51,-0.23,0.38,133755
Rory Sabbatini,86.00,59.72,2013,293.10,67.75,29.28,57.77,70.51,553,,5,-0.27,0.47,0.27,0.47,0.00,1327822
Chris Kirk,89.00,59.65,2013,289.00,65.92,28.26,65.38,70.21,904,,3,0.46,0.96,-0.21,0.62,0.10,1728616
Charley Hoffman,84.00,59.57,2013,294.00,65.48,29.05,53.83,70.50,793,,5,0.13,0.58,0.33,0.26,-0.15,1582423
Robert Streb,75.00,59.57,2013,297.70,65.57,29.27,57.95,71.09,359,,,0.00,-0.23,0.16,-0.40,0.00,454871
Kyle Stanley,71.00,59.54,2013,298.10,67.37,30.45,53.72,71.84,662,,3,-0.68,-0.33,0.64,0.42,-0.71,1462943
Carl Pettersson,82.00,59.43,2013,290.20,62.22,29.08,54.60,71.27,439,,1,-0.03,-0.13,0.03,-0.25,0.13,738143
Cameron Percy,68.00,59.28,2013,293.60,65.74,29.14,60.44,71.11,230,,,0.12,-0.17,0.00,-0.20,-0.09,277336
David Lynn,70.00,59.27,2013,277.90,62.48,28.70,60.52,71.02,716,,2,0.43,0.36,-0.23,-0.16,0.32,1633253
Bud Cauley,67.00,59.16,2013,287.50,63.76,29.44,53.04,71.45,343,,,-0.57,-0.25,-0.06,0.24,0.15,443698
Matt Every,89.00,58.94,2013,288.10,65.54,29.01,56.52,71.02,545,,3,-0.09,0.29,0.32,0.30,-0.23,1188867
Matt Kuchar,93.00,58.93,2013,284.90,65.84,28.64,63.55,69.56,2293,2,7,0.40,1.40,-0.01,0.73,0.28,5616808
Marc Leishman,77.00,58.77,2013,286.60,65.08,29.25,57.64,70.53,648,,4,0.08,0.32,-0.10,0.35,-0.01,1491359
Scott Stallings,79.00,58.73,2013,295.70,64.63,29.00,55.07,71.14,816,,4,0.15,-0.24,0.39,-0.38,-0.39,1622627
Bubba Watson,76.00,58.73,2013,303.70,69.41,29.85,54.48,70.28,830,,3,-0.10,1.07,0.94,0.29,-0.07,1759276
Johnson Wagner,64.00,58.69,2013,278.60,64.35,29.82,56.36,72.01,430,,2,0.27,-0.95,-0.46,-0.32,-0.44,801955
Harris English,95.00,58.65,2013,295.20,66.02,28.95,56.11,70.44,1134,1,4,0.48,0.61,0.12,0.10,-0.08,2201167
James Hahn,78.00,58.58,2013,293.30,64.71,28.80,55.96,71.22,480,,2,0.00,-0.07,0.04,-0.08,-0.03,853507
John Rollins,77.00,58.56,2013,295.60,67.43,29.36,57.71,70.78,696,,2,-0.24,0.23,0.16,0.41,-0.10,1164049
Camilo Villegas,79.00,58.56,2013,291.80,66.74,29.13,56.12,70.59,450,,2,-0.15,0.46,-0.18,0.89,-0.10,709677
Stephen Ames,49.00,58.53,2013,280.70,61.11,28.53,59.18,71.45,182,,,0.71,-0.58,-0.66,-0.49,-0.15,188987
Scott Gardiner,61.00,58.52,2013,288.40,64.12,29.66,51.97,72.08,161,,,-0.33,-0.98,0.07,-0.53,-0.19,219645
Sangmoon Bae,83.00,58.39,2013,285.30,63.72,28.80,51.85,71.11,838,1,2,0.37,-0.12,0.05,-0.17,-0.38,1714640
Padraig Harrington,52.00,58.39,2013,288.30,60.88,29.24,56.52,71.02,345,,3,-0.13,-0.09,-0.35,0.07,0.32,711244
